experiment,model,time_ms,a_audio,b_visual,R2
Exp2,attenuation,224.61,0.61925,0.06373,0.49263
Exp2,attenuation,226.56,0.62062,0.07191,0.50526
Exp2,attenuation,228.52,0.62566,0.08312,0.51323
Exp2,attenuation,230.47,0.63406,0.09733,0.51692
Exp2,attenuation,232.42,0.64533,0.11251,0.51680
Exp2,attenuation,234.38,0.65929,0.12522,0.51358
Exp2,attenuation,236.33,0.67605,0.13254,0.50821
Exp2,attenuation,238.28,0.69558,0.13401,0.50170
Exp2,attenuation,240.23,0.71713,0.13228,0.49501
Exp2,attenuation,242.19,0.73943,0.13173,0.48894
Exp2,attenuation,244.14,0.76091,0.13666,0.48425
Exp2,attenuation,246.09,0.77981,0.15010,0.48150
Exp2,attenuation,248.05,0.79412,0.17372,0.48083
Exp2,attenuation,250.00,0.80243,0.20701,0.48188
Exp2,attenuation,251.95,0.80504,0.24639,0.48407
Exp2,attenuation,253.91,0.80399,0.28625,0.48691
Exp2,attenuation,255.86,0.80162,0.32130,0.48977
Exp2,attenuation,257.81,0.79901,0.34871,0.49143
Exp2,attenuation,259.77,0.79572,0.36833,0.49043
Exp2,attenuation,261.72,0.79051,0.38217,0.48582
Exp2,attenuation,263.67,0.78210,0.39350,0.47729
Exp2,attenuation,265.62,0.76963,0.40566,0.46469
Exp2,attenuation,267.58,0.75325,0.42052,0.44799
Exp2,attenuation,269.53,0.73410,0.43799,0.42750
Exp2,attenuation,271.48,0.71368,0.45636,0.40370
Exp2,attenuation,273.44,0.69275,0.47354,0.37709
Exp2,attenuation,275.39,0.67105,0.48832,0.34861
Exp2,attenuation,277.34,0.64810,0.49972,0.31960
Exp2,attenuation,279.30,0.62380,0.50647,0.29133
Exp2,attenuation,281.25,0.59872,0.50724,0.26499
Exp2,attenuation,283.20,0.57372,0.50166,0.24220
Exp2,attenuation,285.16,0.54934,0.49079,0.22448
Exp2,attenuation,287.11,0.52550,0.47645,0.21231
Exp2,attenuation,289.06,0.50123,0.46107,0.20495
Exp2,attenuation,291.02,0.47518,0.44687,0.20099
Exp2,attenuation,292.97,0.44632,0.43499,0.19869
Exp2,attenuation,294.92,0.41481,0.42550,0.19695
Exp2,attenuation,296.88,0.38239,0.41787,0.19644
Exp2,attenuation,298.83,0.35148,0.41187,0.19909
Exp2,attenuation,300.78,0.32421,0.40755,0.20651
Exp2,attenuation,302.73,0.30217,0.40501,0.21883
Exp2,attenuation,304.69,0.28638,0.40401,0.23461
Exp2,attenuation,306.64,0.27713,0.40334,0.25124
Exp2,attenuation,308.59,0.27363,0.40105,0.26601
Exp2,attenuation,310.55,0.27419,0.39497,0.27722
Exp2,attenuation,312.50,0.27742,0.38315,0.28490
Exp2,attenuation,314.45,0.28311,0.36423,0.29074
Exp2,attenuation,316.41,0.29193,0.33809,0.29753
Exp2,attenuation,318.36,0.30441,0.30548,0.30808
Exp2,attenuation,320.31,0.32024,0.26729,0.32397
Exp2,attenuation,322.27,0.33858,0.22472,0.34531
Exp2,attenuation,324.22,0.35843,0.17964,0.37067
Exp2,attenuation,326.17,0.37902,0.13438,0.39767
Exp2,attenuation,328.12,0.39973,0.09156,0.42409
Exp2,attenuation,330.08,0.42019,0.05422,0.44876
Exp2,attenuation,332.03,0.44002,0.02513,0.47095
Exp2,attenuation,333.98,0.45874,0.00536,0.48968
Exp2,attenuation,335.94,0.47566,-0.00586,0.50377
Exp2,attenuation,337.89,0.48996,-0.01031,0.51227
Exp2,attenuation,339.84,0.50063,-0.01010,0.51452
Exp2,attenuation,341.80,0.50672,-0.00704,0.51009
Exp2,attenuation,343.75,0.50775,-0.00187,0.49963
Exp2,attenuation,345.70,0.50401,0.00597,0.48508
Exp2,attenuation,347.66,0.49661,0.01723,0.46894
Exp2,attenuation,349.61,0.48723,0.03192,0.45309
Exp2,attenuation,351.56,0.47774,0.04883,0.43845
Exp2,attenuation,353.52,0.46968,0.06591,0.42484
Exp2,attenuation,355.47,0.46377,0.08123,0.41090
Exp2,attenuation,357.42,0.45985,0.09409,0.39475
Exp2,attenuation,359.38,0.45738,0.10510,0.37493
Exp2,attenuation,361.33,0.45580,0.11579,0.35094
Exp2,attenuation,363.28,0.45461,0.12777,0.32305
Exp2,attenuation,365.23,0.45361,0.14171,0.29189
Exp2,attenuation,367.19,0.45289,0.15712,0.25815
Exp2,attenuation,369.14,0.45278,0.17264,0.22295
Exp2,attenuation,371.09,0.45376,0.18649,0.18777
Exp2,attenuation,373.05,0.45619,0.19703,0.15394
Exp2,attenuation,375.00,0.46001,0.20346,0.12247
Exp2,attenuation,376.95,0.46447,0.20609,0.09475
Exp2,attenuation,378.91,0.46840,0.20627,0.07283
Exp2,attenuation,380.86,0.47047,0.20583,0.05859
Exp2,attenuation,382.81,0.46969,0.20660,0.05275
Exp2,attenuation,384.77,0.46567,0.20961,0.05421
Exp2,attenuation,386.72,0.45803,0.21498,0.05948
Exp2,attenuation,388.67,0.44644,0.22225,0.06389
Exp2,attenuation,390.62,0.43102,0.23108,0.06380
Exp2,attenuation,392.58,0.41257,0.24168,0.05823
Exp2,attenuation,394.53,0.39227,0.25448,0.04865
Exp2,attenuation,396.48,0.37135,0.26970,0.03808
Exp2,attenuation,398.44,0.35082,0.28667,0.02908
Exp2,attenuation,400.39,0.33130,0.30428,0.02314
Exp2,attenuation,402.34,0.31274,0.32212,0.02133
Exp2,attenuation,404.30,0.29461,0.34105,0.02505
Exp2,attenuation,406.25,0.27631,0.36240,0.03607
Exp2,attenuation,408.20,0.25776,0.38709,0.05590
Exp2,attenuation,410.16,0.23949,0.41517,0.08493
Exp2,attenuation,412.11,0.22254,0.44549,0.12110
Exp2,attenuation,414.06,0.20822,0.47609,0.16030
Exp2,attenuation,416.02,0.19794,0.50524,0.19881
Exp2,attenuation,417.97,0.19260,0.53183,0.23451
Exp2,attenuation,419.92,0.19251,0.55482,0.26664
Exp2,attenuation,421.88,0.19751,0.57305,0.29490
Exp2,attenuation,423.83,0.20698,0.58533,0.31879
Exp2,attenuation,425.78,0.22018,0.59013,0.33770
Exp2,attenuation,427.73,0.23663,0.58619,0.35181
Exp2,attenuation,429.69,0.25617,0.57368,0.36295
Exp2,attenuation,431.64,0.27852,0.55400,0.37382
Exp2,attenuation,433.59,0.30283,0.52891,0.38630
Exp2,attenuation,435.55,0.32725,0.50076,0.40033
Exp2,attenuation,437.50,0.34891,0.47277,0.41420
Exp2,attenuation,439.45,0.36489,0.44776,0.42528
Exp2,attenuation,441.41,0.37342,0.42639,0.43115
Exp2,attenuation,443.36,0.37452,0.40713,0.43030
Exp2,attenuation,445.31,0.36985,0.38748,0.42264
Exp2,attenuation,447.27,0.36212,0.36550,0.40967
Exp2,attenuation,449.22,0.35447,0.34042,0.39406
Exp2,attenuation,451.17,0.34989,0.31202,0.37858
Exp2,attenuation,453.12,0.35056,0.27975,0.36513
Exp2,attenuation,455.08,0.35700,0.24355,0.35464
Exp2,attenuation,457.03,0.36799,0.20499,0.34736
Exp2,attenuation,458.98,0.38073,0.16762,0.34277
Exp2,attenuation,460.94,0.39200,0.13576,0.34014
Exp2,attenuation,462.89,0.39932,0.11285,0.33898
Exp2,attenuation,464.84,0.40175,0.09995,0.33925
Exp2,attenuation,466.80,0.40018,0.09557,0.34130
Exp2,attenuation,468.75,0.39634,0.09704,0.34547
Exp2,attenuation,470.70,0.39201,0.10166,0.35173
Exp2,attenuation,472.66,0.38887,0.10662,0.35942
Exp2,attenuation,474.61,0.38801,0.10976,0.36736
Exp2,attenuation,476.56,0.38917,0.11079,0.37418
Exp2,attenuation,478.52,0.39097,0.11080,0.37843
Exp2,attenuation,480.47,0.39210,0.11069,0.37907
Exp2,attenuation,482.42,0.39158,0.11078,0.37560
Exp2,attenuation,484.38,0.38833,0.11164,0.36792
Exp2,attenuation,486.33,0.38094,0.11466,0.35678
Exp2,attenuation,488.28,0.36863,0.12200,0.34475
Exp2,attenuation,490.23,0.35237,0.13550,0.33596
Exp2,attenuation,492.19,0.33507,0.15555,0.33465
Exp2,attenuation,494.14,0.32022,0.18139,0.34309
Exp2,attenuation,496.09,0.31007,0.21204,0.36027
Exp2,attenuation,498.05,0.30492,0.24692,0.38307
