experiment,time_ms,a_audio,b_visual,R2
Exp2,222.66,0.84406,1.00600,0.88421
Exp2,224.61,0.86929,0.99442,0.87952
Exp2,226.56,0.89377,0.97844,0.87148
Exp2,228.52,0.91736,0.96011,0.86124
Exp2,230.47,0.93995,0.94122,0.84989
Exp2,232.42,0.96161,0.92291,0.83826
Exp2,234.38,0.98257,0.90553,0.82685
Exp2,236.33,1.00307,0.88910,0.81583
Exp2,238.28,1.02308,0.87389,0.80514
Exp2,240.23,1.04219,0.86065,0.79453
Exp2,242.19,1.05970,0.85053,0.78371
Exp2,244.14,1.07498,0.84476,0.77260
Exp2,246.09,1.08751,0.84463,0.76138
Exp2,248.05,1.09706,0.85124,0.75046
Exp2,250.00,1.10404,0.86443,0.74009
Exp2,251.95,1.10987,0.88157,0.73017
Exp2,253.91,1.11657,0.89800,0.72035
Exp2,255.86,1.12577,0.90944,0.70998
Exp2,257.81,1.13811,0.91380,0.69828
Exp2,259.77,1.15318,0.91122,0.68457
Exp2,261.72,1.16980,0.90349,0.66845
Exp2,263.67,1.18631,0.89355,0.64992
Exp2,265.62,1.20119,0.88478,0.62925
Exp2,267.58,1.21365,0.87973,0.60713
Exp2,269.53,1.22420,0.87902,0.58447
Exp2,271.48,1.23420,0.88158,0.56199
Exp2,273.44,1.24470,0.88653,0.53955
Exp2,275.39,1.25537,0.89453,0.51597
Exp2,277.34,1.26459,0.90706,0.48939
Exp2,279.30,1.27027,0.92505,0.45804
Exp2,281.25,1.27084,0.94799,0.42098
Exp2,283.20,1.26543,0.97418,0.37853
Exp2,285.16,1.25377,1.00104,0.33195
Exp2,287.11,1.23626,1.02548,0.28282
Exp2,289.06,1.21383,1.04501,0.23275
Exp2,291.02,1.18737,1.05795,0.18294
Exp2,292.97,1.15690,1.06287,0.13422
Exp2,294.92,1.12161,1.05845,0.08834
Exp2,296.88,1.08070,1.04413,0.04895
Exp2,298.83,1.03355,1.02052,0.01977
Exp2,300.78,0.97997,0.98940,0.00308
Exp2,302.73,0.92072,0.95364,-0.00040
Exp2,304.69,0.85809,0.91676,0.00909
Exp2,306.64,0.79530,0.88186,0.03027
Exp2,308.59,0.73577,0.85124,0.06113
Exp2,310.55,0.68266,0.82617,0.09931
Exp2,312.50,0.63855,0.80686,0.14237
Exp2,314.45,0.60512,0.79263,0.18798
Exp2,316.41,0.58279,0.78182,0.23393
Exp2,318.36,0.57039,0.77178,0.27822
Exp2,320.31,0.56543,0.75956,0.31903
Exp2,322.27,0.56516,0.74320,0.35502
Exp2,324.22,0.56730,0.72220,0.38532
Exp2,326.17,0.57038,0.69722,0.40962
Exp2,328.12,0.57398,0.66972,0.42833
Exp2,330.08,0.57871,0.64161,0.44267
Exp2,332.03,0.58566,0.61492,0.45419
Exp2,333.98,0.59550,0.59165,0.46431
Exp2,335.94,0.60806,0.57369,0.47401
Exp2,337.89,0.62236,0.56280,0.48383
Exp2,339.84,0.63697,0.55981,0.49382
Exp2,341.80,0.65041,0.56405,0.50361
Exp2,343.75,0.66148,0.57345,0.51275
Exp2,345.70,0.66942,0.58558,0.52116
Exp2,347.66,0.67379,0.59852,0.52908
Exp2,349.61,0.67432,0.61144,0.53682
Exp2,351.56,0.67070,0.62447,0.54453
Exp2,353.52,0.66240,0.63838,0.55232
Exp2,355.47,0.64905,0.65430,0.56040
Exp2,357.42,0.63094,0.67317,0.56891
Exp2,359.38,0.60950,0.69494,0.57764
Exp2,361.33,0.58694,0.71869,0.58599
Exp2,363.28,0.56566,0.74323,0.59335
Exp2,365.23,0.54799,0.76733,0.59888
Exp2,367.19,0.53576,0.78972,0.60135
Exp2,369.14,0.53013,0.80921,0.59931
Exp2,371.09,0.53173,0.82494,0.59155
Exp2,373.05,0.54058,0.83671,0.57733
Exp2,375.00,0.55571,0.84489,0.55646
Exp2,376.95,0.57534,0.85015,0.52945
Exp2,378.91,0.59743,0.85307,0.49737
Exp2,380.86,0.61951,0.85415,0.46117
Exp2,382.81,0.63868,0.85382,0.42115
Exp2,384.77,0.65222,0.85237,0.37702
Exp2,386.72,0.65827,0.84969,0.32845
Exp2,388.67,0.65651,0.84526,0.27535
Exp2,390.62,0.64857,0.83887,0.21854
Exp2,392.58,0.63725,0.83122,0.15971
Exp2,394.53,0.62562,0.82362,0.10092
Exp2,396.48,0.61579,0.81781,0.04421
Exp2,398.44,0.60855,0.81556,-0.00824
Exp2,400.39,0.60324,0.81827,-0.05460
Exp2,402.34,0.59800,0.82601,-0.09445
Exp2,404.30,0.59067,0.83752,-0.12889
Exp2,406.25,0.58014,0.85090,-0.15930
Exp2,408.20,0.56681,0.86445,-0.18625
Exp2,410.16,0.55179,0.87709,-0.20953
Exp2,412.11,0.53648,0.88826,-0.22888
Exp2,414.06,0.52177,0.89790,-0.24496
Exp2,416.02,0.50793,0.90654,-0.25882
Exp2,417.97,0.49439,0.91469,-0.27085
Exp2,419.92,0.48016,0.92216,-0.27969
Exp2,421.88,0.46436,0.92789,-0.28219
Exp2,423.83,0.44650,0.93038,-0.27486
Exp2,425.78,0.42650,0.92835,-0.25534
Exp2,427.73,0.40450,0.92102,-0.22356
Exp2,429.69,0.38105,0.90827,-0.18181
Exp2,431.64,0.35699,0.89046,-0.13431
Exp2,433.59,0.33352,0.86837,-0.08552
Exp2,435.55,0.31210,0.84347,-0.03843
Exp2,437.50,0.29424,0.81752,0.00606
Exp2,439.45,0.28122,0.79165,0.04803
Exp2,441.41,0.27362,0.76618,0.08775
Exp2,443.36,0.27079,0.74108,0.12536
Exp2,445.31,0.27130,0.71644,0.16117
Exp2,447.27,0.27367,0.69256,0.19535
Exp2,449.22,0.27713,0.66973,0.22750
Exp2,451.17,0.28173,0.64782,0.25656
Exp2,453.12,0.28816,0.62624,0.28143
Exp2,455.08,0.29718,0.60483,0.30181
Exp2,457.03,0.30933,0.58420,0.31840
Exp2,458.98,0.32461,0.56534,0.33257
Exp2,460.94,0.34233,0.54912,0.34578
Exp2,462.89,0.36076,0.53636,0.35903
Exp2,464.84,0.37744,0.52793,0.37274
Exp2,466.80,0.39025,0.52429,0.38683
Exp2,468.75,0.39807,0.52508,0.40095
Exp2,470.70,0.40126,0.52908,0.41469
Exp2,472.66,0.40125,0.53443,0.42763
Exp2,474.61,0.40008,0.53871,0.43921
Exp2,476.56,0.39967,0.53958,0.44896
Exp2,478.52,0.40122,0.53578,0.45667
Exp2,480.47,0.40485,0.52740,0.46265
Exp2,482.42,0.40968,0.51547,0.46763
Exp2,484.38,0.41415,0.50129,0.47235
Exp2,486.33,0.41689,0.48644,0.47754
Exp2,488.28,0.41796,0.47287,0.48450
Exp2,490.23,0.41920,0.46205,0.49488
Exp2,492.19,0.42338,0.45405,0.50924
Exp2,494.14,0.43281,0.44757,0.52617
Exp2,496.09,0.44839,0.44101,0.54306
Exp2,498.05,0.46952,0.43340,0.55815
